route,day,setoff_date,expected_date,stop,avg_min_c,avg_max_c,avg_min_f,avg_max_f,samples
southern,10,2026-05-10,2026-05-09,"Chicago Heights, IL",6.9,17.2,44.4,63.0,10
southern,11,2026-05-11,2026-05-10,"Rock Falls, IL",9.7,20.9,49.5,69.6,10
southern,12,2026-05-12,2026-05-11,"Cedar Rapids, IA",9.9,20.0,49.8,68.0,10
southern,13,2026-05-13,2026-05-12,"Ames, IA",10.4,21.1,50.7,70.0,10
southern,14,2026-05-14,2026-05-13,"Denison, IA",10.7,20.7,51.3,69.3,10
southern,15,2026-05-15,2026-05-14,"Lincoln, NE",12.9,24.8,55.2,76.6,10
southern,16,2026-05-16,2026-05-15,"Hastings, NE",12.5,23.1,54.5,73.6,10
southern,17,2026-05-17,2026-05-16,"Smith Center, KS",13.6,24.9,56.5,76.8,10
southern,18,2026-05-18,2026-05-17,"Great Bend, KS",14.1,25.3,57.4,77.5,10
southern,19,2026-05-19,2026-05-18,"Dodge City, KS",13.0,25.1,55.4,77.2,10
southern,20,2026-05-20,2026-05-19,"Liberal, KS",13.3,23.7,55.9,74.7,10
southern,21,2026-05-21,2026-05-20,"Dalhart, TX",10.2,25.8,50.4,78.4,10
southern,22,2026-05-22,2026-05-21,"Tucumcari, NM",13.1,27.7,55.6,81.9,10
southern,23,2026-05-23,2026-05-22,"Santa Rosa, NM",11.4,26.2,52.5,79.2,10
southern,24,2026-05-24,2026-05-23,"Albuquerque, NM",12.9,28.2,55.2,82.8,10
southern,25,2026-05-25,2026-05-24,"Grants, NM",7.2,24.7,45.0,76.5,10
southern,26,2026-05-26,2026-05-25,"Gallup, NM",8.8,24.0,47.8,75.2,10
southern,27,2026-05-27,2026-05-26,"Holbrook, AZ",11.6,27.3,52.9,81.1,10
southern,28,2026-05-28,2026-05-27,"Flagstaff, AZ",7.2,21.9,45.0,71.4,10
southern,29,2026-05-29,2026-05-28,"Seligman, AZ",12.8,26.8,55.0,80.2,10
southern,30,2026-05-30,2026-05-29,"Kingman, AZ",18.7,31.2,65.7,88.2,10
southern,31,2026-05-31,2026-05-30,"Needles, CA",24.8,38.4,76.6,101.1,10
southern,32,2026-06-01,2026-05-31,"Barstow, CA",16.9,32.4,62.4,90.3,10
southern,33,2026-06-02,2026-06-01,"Santa Monica, CA",13.6,23.7,56.5,74.7,10
